time,node,metric,unit,n,min,mean,p95,max
2026-09-03T04:56:00Z,gpu-nodes-0,gpu_hbm_used,GiB,56,0.717468,0.717734,0.721008,0.721008
2026-09-03T04:56:00Z,gpu-nodes-0,gpu_power,W,56,186.643,191.822,195.506,196.649
2026-09-03T04:56:00Z,gpu-nodes-0,gpu_utilization,%,56,0,0,0.0,0
2026-09-03T04:56:00Z,gpu-nodes-0,host_cpu_busy,%,6,0.71267,1.024,1.65347,1.83228
2026-09-03T04:56:00Z,gpu-nodes-0,host_memory_available,GiB,7,2940.59,2940.79,2940.98,2940.98
2026-09-03T04:56:00Z,gpu-nodes-0,ib_rail_rx,GB/s,48,0.0,5.31177e-08,3.18769e-07,3.19055e-07
2026-09-03T04:56:00Z,gpu-nodes-0,ib_rail_tx,GB/s,48,0.0,5.31177e-08,3.18769e-07,3.19055e-07
2026-09-03T04:56:00Z,gpu-nodes-0,lustre_client_read,GB/s,18,0.0,0.0339511,0.173422,0.473952
2026-09-03T04:56:00Z,gpu-nodes-0,lustre_client_write,GB/s,18,5.32886e-05,0.000294516,0.000958226,0.00162007
2026-09-03T04:56:00Z,gpu-nodes-0,nvlink_gpu_tx,GB/s,48,0.0,0.0,0.0,0.0
2026-09-03T04:56:00Z,gpu-nodes-0,shared_storage_available,TiB,7,0.420562,0.420567,0.420571,0.420571
2026-09-03T04:56:00Z,gpu-nodes-1,gpu_hbm_used,GiB,64,0.717468,0.717478,0.717529,0.717529
2026-09-03T04:56:00Z,gpu-nodes-1,gpu_power,W,64,183.733,189.326,196.605,199.273
2026-09-03T04:56:00Z,gpu-nodes-1,gpu_utilization,%,64,0,0,0.0,0
2026-09-03T04:56:00Z,gpu-nodes-1,host_cpu_busy,%,7,0.76592,0.987243,1.28653,1.39621
2026-09-03T04:56:00Z,gpu-nodes-1,host_memory_available,GiB,8,2952.62,2952.81,2953.02,2953.03
2026-09-03T04:56:00Z,gpu-nodes-1,ib_rail_rx,GB/s,56,0.0,8.24239e-08,2.88431e-07,2.95515e-07
2026-09-03T04:56:00Z,gpu-nodes-1,ib_rail_tx,GB/s,56,0.0,8.24239e-08,2.88431e-07,2.95515e-07
2026-09-03T04:56:00Z,gpu-nodes-1,lustre_client_read,GB/s,16,0.0,0.0382048,0.194508,0.213308
2026-09-03T04:56:00Z,gpu-nodes-1,lustre_client_write,GB/s,16,5.33318e-05,0.000324394,0.000752647,0.00162057
2026-09-03T04:56:00Z,gpu-nodes-1,nvlink_gpu_tx,GB/s,56,0.0,0.0,0.0,0.0
2026-09-03T04:56:00Z,gpu-nodes-1,shared_storage_available,TiB,8,0.420561,0.420567,0.420572,0.420572
